"theme","questioncourte","question","reponse_1","reponse_2","reponse_3","reponse_4","reponse_5","reponse_6","affectation_1","affectation_2","affectation_3","affectation_4","affectation_5","affectation_6"
"Economie","L'insertion des jeunes","Comment lutter contre la précarité des jeunes en âge de travailler ?","Instaurer une allocation sans conditions","Instaurer une allocation sous conditions (ressources, formation, accompagnement…)","Exonérer d'impôt sur le revenu les jeunes actifs de moins de 30 ans","Ne pas proposer d'aides financières","","","Poutou, Mélenchon, Jadot, Roussel","Dupont-Aignan, Macron, Pécresse, Hidalgo, Lassalle","Le Pen","Zemmour","",""
"Economie","La lutte contre la fraude","Quelle est la priorité dans la lutte contre les fraudes fiscale et sociale ?","Cibler la fraude et l'optimisation fiscales en visant les multinationales et les paradis fiscaux","Mettre fin au verrou de Bercy qui écarte la justice du traitement de certains dossiers de fraude fiscale","Cibler aussi bien la fraude fiscale que sociale","Cibler la fraude sociale et durcir les sanctions contres les fraudeurs","","","Poutou, Roussel, Hidalgo, Dupont-Aignan, Jadot","Mélenchon","Pécresse, Le Pen","Zemmour","",""
"Société","La fin de vie","Quelle position défendez-vous sur la fin de vie ?","Permettre l'aide à la fin de vie","Consulter les citoyens","S'en tenir à  la loi actuelle, qui permet une sédation profonde, mais investir dans les soins palliatifs","","","","Poutou, Mélenchon, Jadot, Hidalgo, Roussel","Macron","Dupont-Aignan, Le Pen, Zemmour, Pécresse","","",""
"Société","L'inclusion des personnes handicapées","Quel niveau d'inclusion souhaitez-vous pour les personnes handicapées ?","Appliquer la loi actuelle sur l'inclusion","Améliorer l'inclusion","Inscrire l'inclusion des personnes handicapées dans la Constitution","Ne pas se focaliser sur l'inclusion mais proposer des dispositifs dédiés","","","Arthaud, Mélenchon, Jadot","Poutou, Hidalgo, Macron, Pécresse, Lassalle, Dupont-Aignan","Le Pen, Roussel","Zemmour","",""
"Sécurité","Le fonctionnement de la police","Que faudrait-il faire pour améliorer le fonctionnement de la police ?","Supprimer les brigades spéciales (BAC, BRAV)","Mieux contrôler les actions des policiers (contrôle d'identité, IGPN)","Recruter davantage de policiers et gendarmes","Instaurer une présomption de légitime défense pour les policiers","Renforcer les pouvoirs des policiers nationaux ou municipaux","","Poutou, Mélenchon","Roussel, Jadot, Hidalgo","Macron, Lassalle","Le Pen, Zemmour","Dupont-Aignan, Pécresse",""
"Politique","Le statut de la Corse","Quel statut accorder à la Corse ?","Accorder l'autonomie","Refuser l'autonomie","Conditionner l'autonomie à certaines conditions","Engager une discussion sur la question de l'autonomie","","","Poutou, Mélenchon, Jadot, Lassalle","Roussel, Le Pen, Zemmour, Dupont-Aignan","Pécresse","Macron, Arthaud","",""
"Société","L'hôpital public","Outre le recrutement de soignants, quelle mesure vous semble prioritaire pour améliorer l'hôpital public ?","Réduire le coût des soins pour les patients","Alléger la charge administrative des soignants","Faire évaluer la qualité des soins par les patients","Réorganiser le système de santé, en mettant fin aux agences régionales de santé","","","Hidalgo, Dupont-Aignan, Le Pen, Arthaud, Poutou, Mélenchon, Roussel, Jadot","Macron","Pécresse","Zemmour, Lassalle","",""
"Education","Les enseignants","Quelle est la priorité pour revaloriser le métier d'enseignant ? ","Augmenter massivement les salaires","Augmenter modérément les salaires","Augmenter les salaires en échange de nouvelles missions","","","","Poutou, Mélenchon, Roussel, Jadot, Lassalle, Hidalgo, Arthaud","Pécresse, Le Pen, Zemmour","Macron, Dupont-Aignan","","",""
"Société","Le grand âge et les Ehpad","Comment améliorer les conditions de vie des personnes âgées en perte d'autonomie ?","Augmenter le personnel d'encadrement dans les Ehpad ","Créer des places supplémentaires dans les Ehpad publics","Renforcer les contrôles dans les Ehpad","Favoriser le maintien à domicile","Consulter les retraités","","Arthaud, Roussel, Dupont-Aignan, Le Pen, Jadot, Hidalgo","Mélenchon, Poutou","Zemmour","Macron, Pécresse","Lassalle",""
"Société","Les logements sociaux","Quelle politique doit être défendue pour le logement social ?","Maintenir la règle des 25 % de HLM dans les communes","Réhausser à 30 % le taux de HLM dans les communes","Supprimer la règle des 25 % de HLM dans les communes","Confier directement à l'Etat la construction des HLM","","","Hidalgo, Macron, Pécresse, Lassalle","Mélenchon, Jadot, Roussel","Zemmour, Le Pen, Dupont-Aignan","Arthaud, Poutou","",""
"International","La France et l'OTAN","Quelle position la France doit-elle avoir vis-à-vis de l'OTAN ?","Rester dans l'OTAN","Rester dans l'OTAN, mais en quitter le commandement intégré","Quitter l'OTAN","Quitter l'OTAN à la fin du conflit en Ukraine","","","Macron, Pécresse, Jadot, Hidalgo","Dupont-Aignan, Le Pen, Zemmour","Mélenchon, Lassalle, Poutou","Roussel","",""
"International","La guerre en Ukraine","Comment la France doit-elle réagir face au conflit en Ukraine ?","En soutenant militairement l'Ukraine et en sanctionnant la Russie","En s'engageant à ce que l'Ukraine n'entre jamais dans l'OTAN","En n'intervenant pas","","","","Jadot, Hidalgo, Macron, Pécresse","Mélenchon, Dupont-Aignan, Roussel, Zemmour, Le Pen, Poutou","Arthaud","","",""
